"filename", "language", "Markdown", "Docker", "YAML", "JSON with Comments", "JSON", "Batch", "JavaScript", "HTML", "Svelte", "XML", "PostCSS", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\backend\src\main\java\no\hvl\group17\feedapp\services\PollService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 45, 31, 143
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\backend\src\main\java\no\hvl\group17\feedapp\services\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 22, 84
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\backend\src\main\java\no\hvl\group17\feedapp\services\VoteService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 28, 29, 138
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\backend\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 6, 8, 40
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\backend\src\test\resources\application-test.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\docker-compose.yml", "YAML", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 80
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 1347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1348
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\package.json", "JSON", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
